"","Predicted","Actual"
"Capnocytophaga_gingivalis",0.767341640706127,1
"Kingella_oralis",0.64634434413233,0.993769470404984
"Capnocytophaga_leadbetteri",0.844390459223692,0.987538940809969
"Lautropia_mirabilis",0.648255145476463,0.97196261682243
"Capnocytophaga_granulosa",0.824615324290412,0.97196261682243
"Corynebacterium_durum",0.728046233361654,0.97196261682243
"Streptococcus_sanguinis",0.652513512793886,0.956386292834891
"Capnocytophaga_ochracea",0.798456045735214,0.950155763239875
"Corynebacterium_matruchotii",0.737112921692361,0.94392523364486
"Cardiobacterium_hominis",0.791400873412139,0.937694704049844
"Rothia_aeria",0.75917078573901,0.928348909657321
"Veillonella_parvula",0.676720079246483,0.928348909657321
"Actinomyces_massiliensis",0.657864988307204,0.919003115264797
"Prevotella_saccharolytica",0.489357202404458,0.912772585669782
"Streptococcus_mitis",0.527158597385013,0.903426791277259
"Porphyromonas_catoniae",0.525824992509984,0.903426791277259
"Streptococcus_oralis",0.532372360678436,0.88785046728972
"Campylobacter_concisus",0.706697819314642,0.88785046728972
"Prevotella_loescheii",0.492000425310974,0.88785046728972
"Neisseria_elongata",0.385568922183451,0.872274143302181
"Gemella_morbillorum",0.357123404231498,0.872274143302181
"Actinomyces_naeslundii",0.739807279452087,0.862928348909657
"Rothia_dentocariosa",0.71420723328823,0.856697819314642
"Streptococcus_gordonii",0.508678095009871,0.850467289719626
"Propionibacterium_propionicum",0.679044397474966,0.844236760124611
"Campylobacter_gracilis",0.161854845499705,0.838006230529595
"Eikenella_corrodens",0.624964536662893,0.831775700934579
"Leptotrichia_wadei",0.634688544645016,0.825545171339564
"Leptotrichia_hofstadii",0.623788242984869,0.819314641744548
"Actinomyces_oris",0.742214867883575,0.813084112149533
"Veillonella_dispar",0.641054474749401,0.775700934579439
"Granulicatella_adiacens",0.510792167334224,0.775700934579439
"Streptococcus_cristatus",0.424139210573841,0.775700934579439
"Haemophilus_parainfluenzae",0.511125206030324,0.775700934579439
"Cardiobacterium_valvarum",0.566656282450675,0.775700934579439
"Prevotella_melaninogenica",0.504440351195284,0.775700934579439
"Streptococcus_thermophilus",0.432716111083346,0.775700934579439
"Lachnoanaerobaculum_umeaense",0.539860492830842,0.775700934579439
"Aggregatibacter_segnis",0.39903012512844,0.775700934579439
"Selenomonas_artemidis",0.497257697096225,0.741433021806854
"Prevotella_oulorum",0.402474486092967,0.741433021806854
"Actinomyces_odontolyticus",0.485673273699999,0.73208722741433
"Prevotella_nigrescens",0.477349578066626,0.725856697819315
"Eubacterium_yurii",0.48645447598895,0.719626168224299
"Streptococcus_anginosus",0.501439893714495,0.697819314641745
"Rothia_mucilaginosa",0.57988904219347,0.679127725856698
"Stomatobaculum_longum",0.568119286852998,0.679127725856698
"Campylobacter_showae",0.604636634854703,0.660436137071651
"Leptotrichia_shahii",0.695129038738501,0.660436137071651
"Aggregatibacter_aphrophilus",0.446663066805123,0.660436137071651
"Kingella_denitrificans",0.421477788078475,0.660436137071651
"Prevotella_salivae",0.614896986832116,0.598130841121495
"Selenomonas_noxia",0.432571528314,0.598130841121495
"Fusobacterium_periodonticum",0.564955446492281,0.598130841121495
"Gemella_haemolysans",0.625584828851556,0.598130841121495
"Abiotrophia_defectiva",0.387112618956173,0.598130841121495
"Leptotrichia_trevisanii",0.666354696417002,0.598130841121495
"Actinomyces_johnsonii",0.592045282182319,0.598130841121495
"Leptotrichia_buccalis",0.646234996548263,0.538940809968847
"Actinomyces_viscosus",0.615157755729498,0.538940809968847
"Neisseria_mucosa",0.476877249561696,0.526479750778816
"Prevotella_pleuritidis",0.444584813294036,0.520249221183801
