"","Predicted","Actual"
"Cardiobacterium_hominis",0.812186681844052,1
"Streptococcus_sanguinis",0.628001759196978,0.99601593625498
"Eikenella_corrodens",0.772722111553785,0.99203187250996
"Corynebacterium_durum",0.430678132540261,0.98804780876494
"Porphyromonas_catoniae",0.778543369431038,0.98406374501992
"Prevotella_loescheii",0.723692850430636,0.9800796812749
"Lautropia_mirabilis",0.517498269831472,0.974103585657371
"Capnocytophaga_ochracea",0.778006316884139,0.974103585657371
"Prevotella_oulorum",0.191765108026674,0.968127490039841
"Veillonella_parvula",0.716583536654416,0.960159362549801
"Gemella_morbillorum",0.693523826770838,0.960159362549801
"Aggregatibacter_segnis",0.658987499613947,0.960159362549801
"Capnocytophaga_granulosa",0.84188149363331,0.944223107569721
"Capnocytophaga_leadbetteri",0.863183213093572,0.944223107569721
"Cardiobacterium_valvarum",0.557810905139771,0.944223107569721
"Actinomyces_naeslundii",0.555788729945584,0.936254980079681
"Leptotrichia_wadei",0.536453417836818,0.932270916334661
"Actinomyces_massiliensis",0.590515952276684,0.928286852589641
"Campylobacter_showae",0.787181746650574,0.918326693227092
"Prevotella_saccharolytica",0.636633607414314,0.918326693227092
"Neisseria_flavescens",0.340581380153146,0.910358565737052
"Actinomyces_odontolyticus",0.54734610248146,0.904382470119522
"Rothia_aeria",0.739462271035976,0.900398406374502
"Neisseria_elongata",0.780185922974768,0.896414342629482
"Haemophilus_parainfluenzae",0.751165284218318,0.892430278884462
"Kingella_oralis",0.696729984146983,0.886454183266932
"Campylobacter_concisus",0.812657324233006,0.886454183266932
"Fusobacterium_periodonticum",0.653797082731346,0.878486055776892
"Granulicatella_adiacens",0.632847527269838,0.866533864541833
"Lachnoanaerobaculum_saburreum",0.51225457646538,0.866533864541833
"Veillonella_atypica",0.509534606114951,0.866533864541833
"Haemophilus_haemolyticus",0.623584805629141,0.866533864541833
"Leptotrichia_buccalis",0.731443456941465,0.856573705179283
"Corynebacterium_matruchotii",0.597653393425423,0.852589641434263
"Campylobacter_gracilis",0.551904350682377,0.848605577689243
"Selenomonas_noxia",0.388157398262105,0.844621513944223
"Gemella_haemolysans",0.704008858003621,0.838645418326693
"Propionibacterium_propionicum",0.492956613067582,0.838645418326693
"Prevotella_melaninogenica",0.477793175125585,0.832669322709163
"Streptococcus_pneumoniae",0.533306404942781,0.828685258964143
"Veillonella_rogosae",0.335242171967237,0.824701195219124
"Streptococcus_cristatus",0.602823864359912,0.798804780876494
"Leptotrichia_hofstadii",0.545130374163549,0.798804780876494
"Actinomyces_viscosus",0.251369159181611,0.798804780876494
"Prevotella_intermedia",0.579513786957433,0.798804780876494
"Haemophilus_influenzae",0.425182786349996,0.798804780876494
"Granulicatella_elegans",0.511534132153167,0.798804780876494
