"","Predicted","Actual"
"Mogibacterium_diversum",0.626721699182062,1
"Eubacterium_sulci",0.574445221272155,0.988151658767773
"Neisseria_flavescens",0.125566011783499,0.988151658767773
"Prevotella_jejuni",0.663335055964506,0.981042654028436
"Rothia_mucilaginosa",0.651886274843678,0.964454976303317
"Campylobacter_concisus",0.424580646866253,0.964454976303317
"Oribacterium_sinus",0.727841266747077,0.964454976303317
"Rothia_dentocariosa",0.719743419994308,0.964454976303317
"Lachnoanaerobaculum_saburreum",0.744811370722968,0.964454976303317
"Veillonella_rogosae",0.562480200798204,0.964454976303317
"Rothia_aeria",0.821552175630195,0.928909952606635
"Lautropia_mirabilis",0.677178663628207,0.928909952606635
"Campylobacter_mucosalis",0.62020185018811,0.928909952606635
"Prevotella_nigrescens",0.632633038860823,0.928909952606635
"Prevotella_oris",0.734930022153221,0.928909952606635
"Corynebacterium_durum",0.511278567667193,0.928909952606635
"Prevotella_salivae",0.64509197342509,0.845971563981043
"Actinomyces_graevenitzii",0.489584387697854,0.845971563981043
"Atopobium_parvulum",0.511900748555818,0.845971563981043
"Megasphaera_micronuciformis",0.59702726860745,0.845971563981043
"Haemophilus_parainfluenzae",0.437332176002323,0.845971563981043
"Stomatobaculum_longum",0.601850507058044,0.845971563981043
"Gemella_sanguinis",0.648552309360494,0.845971563981043
"Prevotella_melaninogenica",0.823126802413867,0.845971563981043
"Prevotella_histicola",0.630923548655944,0.845971563981043
"Capnocytophaga_leadbetteri",0.585392221727135,0.845971563981043
"Streptococcus_thermophilus",0.491533626976578,0.845971563981043
"Veillonella_parvula",0.553157599258418,0.845971563981043
"Porphyromonas_somerae",0.351238036547626,0.845971563981043
"Capnocytophaga_granulosa",0.630234015833289,0.845971563981043
"Leptotrichia_shahii",0.562094496437849,0.845971563981043
"Alloprevotella_tannerae",0.60632794961337,0.845971563981043
"Streptococcus_australis",0.283603529216958,0.845971563981043
"Lachnoanaerobaculum_umeaense",0.498786983285923,0.845971563981043
"Capnocytophaga_gingivalis",0.5977219341934,0.845971563981043
"Prevotella_pallens",0.69847019376471,0.73696682464455
"Lachnoanaerobaculum_orale",0.552813400241613,0.73696682464455
"Solobacterium_moorei",0.250583905874931,0.73696682464455
"Eubacterium_yurii",0.571685365260762,0.73696682464455
"Dialister_invisus",0.539224387804702,0.73696682464455
"Prevotella_veroralis",0.688251244825725,0.73696682464455
"Treponema_socranskii",0.2560046153317,0.73696682464455
"Neisseria_elongata",0.265231700895208,0.73696682464455
"Abiotrophia_defectiva",0.44224309787106,0.73696682464455
"Gemella_morbillorum",0.347814239890184,0.73696682464455
"Veillonella_tobetsuensis",0.539264098607814,0.73696682464455
"Prevotella_oulorum",0.421860149588135,0.73696682464455
"Atopobium_rimae",0.506377264785868,0.73696682464455
"Treponema_vincentii",0.215420000092116,0.73696682464455
"Aggregatibacter_actinomycetemcomitans",0.224961208214884,0.601895734597156
"Peptococcus_niger",0.271170232647168,0.601895734597156
"Leptotrichia_hofstadii",0.683879600303733,0.601895734597156
"Campylobacter_showae",0.141829864375475,0.601895734597156
"Leptotrichia_hongkongensis",0.667431485470822,0.601895734597156
"Prevotella_pleuritidis",0.35606215599547,0.601895734597156
"Stenotrophomonas_maltophilia",0.44249156254488,0.601895734597156
"Dialister_pneumosintes",0.538978014692215,0.601895734597156
"Prevotella_fusca",0.484835027400193,0.601895734597156
"Corynebacterium_matruchotii",0.534734832124622,0.601895734597156
"Eikenella_corrodens",0.494816482155346,0.601895734597156
"Morococcus_cerebrosus",0.234894409473793,0.601895734597156
"Staphylococcus_epidermidis",0.317782084344468,0.601895734597156
"Leptotrichia_trevisanii",0.578318176464067,0.601895734597156
"Haemophilus_pittmaniae",0.407400808233677,0.601895734597156
"Kingella_oralis",0.19631379956847,0.601895734597156
"Streptococcus_suis",0.422411452251757,0.601895734597156
"Actinomyces_naeslundii",0.278852946389742,0.601895734597156
"Oribacterium_parvum",0.697146730186941,0.601895734597156
"Streptococcus_equinus",0.302503065343238,0.52132701421801
"Prevotella_maculosa",0.427160471051634,0.52132701421801
"Haemophilus_influenzae",0.390231528580763,0.52132701421801
"Neisseria_meningitidis",0.259987954324911,0.52132701421801
"Cardiobacterium_hominis",0.195021337813857,0.52132701421801
"Porphyromonas_endodontalis",0.44424795025058,0.507109004739337
"Fusobacterium_nucleatum",0.484059989013937,0.502369668246445
"Catonella_morbi",0.505675497249336,0.495260663507109
"Treponema_medium",0.47310322617544,0.495260663507109
"Leptotrichia_wadei",0.664359497402323,0.483412322274882
"Granulicatella_adiacens",0.543254853284125,0.483412322274882
"Peptostreptococcus_stomatis",0.575535336314356,0.483412322274882
"Fusobacterium_periodonticum",0.711791325930057,0.4739336492891
"Veillonella_atypica",0.65660033229618,0.469194312796209
"Streptococcus_sanguinis",0.310408927885231,0.464454976303318
"Bacteroides_stercoris",0.682340661383037,0.454976303317536
"Propionibacterium_propionicum",0.51568738228046,0.454976303317536
"Prevotella_loescheii",0.573027192635079,0.454976303317536
"Streptococcus_salivarius",0.550358302101562,0.445497630331754
"Gemella_haemolysans",0.55026968783737,0.438388625592417
"Streptococcus_oralis",0.538574216073389,0.421800947867299
"Bacillus_cereus",0.505930905320213,0.421800947867299
"Propionibacterium_acnes",0.323214595066832,0.421800947867299
"Streptococcus_lactarius",0.0220141907015921,0.421800947867299
"Bifidobacterium_longum",0.379556657154128,0.421800947867299
"Streptococcus_mitis",0.411220496881114,0.402843601895735
"Porphyromonas_catoniae",0.427268406045936,0.402843601895735
"Butyrivibrio_fibrisolvens",0.515386503526314,0.402843601895735
"Actinomyces_odontolyticus",0.365944409076262,0.388625592417062
"Streptococcus_parasanguinis",0.573871645480986,0.381516587677725
"Prevotella_intermedia",0.67929967317803,0.381516587677725
"Streptococcus_pneumoniae",0.301458902794133,0.372037914691943
"Streptococcus_gordonii",0.0976225895783812,0.372037914691943
"Parvimonas_micra",0.373657381435987,0.364928909952607
"Filifactor_alocis",0.470111704046473,0.360189573459716
"Tannerella_forsythia",0.0883971383998706,0.355450236966825
