"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Mogibacterium_diversum",0.834158415841584,0.979428571428571,0.834158415841584,1,0.906793493635078,0.919898986590298
"Alloprevotella_rava",0.794554455445545,0.941278807706289,0.794554455445544,0.995260663507109,0.867916631575917,0.91547324540012
"Eubacterium_sulci",0.905940594059406,0.765411123227917,0.765411123227917,0.988151658767773,0.835675858643662,0.915918672665994
"Neisseria_flavescens",0.905940594059406,0.765411123227917,0.765411123227917,0.988151658767773,0.835675858643662,0.915918672665994
"Prevotella_jejuni",0.737623762376238,0.895945474372955,0.737623762376238,0.981042654028436,0.816784618374596,0.903082337476079
"Rothia_mucilaginosa",0.962871287128713,0.690993093420574,0.690993093420574,0.964454976303318,0.826932190274644,0.835610345741988
"Campylobacter_concisus",0.962871287128713,0.690993093420574,0.690993093420574,0.964454976303318,0.826932190274644,0.835610345741988
"Oribacterium_sinus",0.905940594059406,0.690993093420574,0.690993093420574,0.964454976303318,0.79846684373999,0.865399858288401
"Rothia_dentocariosa",0.794554455445545,0.690993093420574,0.690993093420574,0.964454976303318,0.742773774433059,0.930287413483321
"Lachnoanaerobaculum_saburreum",0.794554455445545,0.690993093420574,0.690993093420574,0.964454976303318,0.742773774433059,0.930287413483321
"Veillonella_rogosae",0.737623762376238,0.690993093420574,0.690993093420574,0.964454976303318,0.714308427898406,0.967359569665965
"Rothia_aeria",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Planobacterium_taklimakanense",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Lautropia_mirabilis",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Campylobacter_mucosalis",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Prevotella_nigrescens",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Prevotella_oris",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Corynebacterium_durum",0.628712871287129,0.690993093420574,0.628712871287129,0.928909952606635,0.659852982353851,0.952807501216955
"Actinomyces_sp_ICM47",0.628712871287129,0.941278807706289,0.628712871287129,0.928909952606635,0.784995839496709,0.800912361128208
"Streptococcus_sp_A12",0.628712871287129,0.941278807706289,0.628712871287129,0.928909952606635,0.784995839496709,0.800912361128208
"Prevotella_salivae",0.992574257425743,0.515125408942203,0.515125408942203,0.845971563981043,0.753849833183973,0.683326288959315
"Actinomyces_graevenitzii",0.98019801980198,0.515125408942203,0.515125408942203,0.845971563981043,0.747661714372092,0.68898192730762
"Atopobium_parvulum",0.98019801980198,0.515125408942203,0.515125408942203,0.845971563981043,0.747661714372092,0.68898192730762
"Megasphaera_micronuciformis",0.98019801980198,0.515125408942203,0.515125408942203,0.845971563981043,0.747661714372092,0.68898192730762
"Haemophilus_parainfluenzae",0.962871287128713,0.515125408942203,0.515125408942203,0.845971563981043,0.738998348035458,0.697058945140547
"Stomatobaculum_longum",0.95049504950495,0.515125408942203,0.515125408942203,0.845971563981043,0.732810229223577,0.702945166974519
"Gemella_sanguinis",0.930693069306931,0.515125408942203,0.515125408942203,0.845971563981043,0.722909239124567,0.712572728446537
