"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","Taxa"
"Capnocytophaga_sputigena",0.901369863013699,0.464688200036326,0.918607129825082,"Capnocytophaga_sputigena"
"Kingella_oralis",0.821917808219178,0.815539545115134,0.500169606218866,"Kingella_oralis"
"Prevotella_maculosa",0.76986301369863,0.520026740126334,0.871203410901681,"Prevotella_maculosa"
"Selenomonas_dianae",0.683561643835616,0.559026558495288,0.763313160355225,"Selenomonas_dianae"
"Solobacterium_moorei",0.932876712328767,0.429113539585478,0.976038406352647,"Solobacterium_moorei"
"Prevotella_micans",0.591780821917808,0.592866037012371,0.906307685163048,"Prevotella_micans"
"Rothia_aeria",0.901369863013699,0.902957861597142,0.435359310217974,"Rothia_aeria"
"Capnocytophaga_haemolytica",0.505479452054794,0.974584468527376,0.752512447938277,"Capnocytophaga_haemolytica"
"Neisseria_mucosa",0.706849315068493,0.888998809307582,0.521513889582708,"Neisseria_mucosa"
"Lachnospiraceae_bacterium_oral_taxon_096",0.423287671232877,0.899729773364816,0.986669053115397,"Lachnospiraceae_bacterium_oral_taxon_096"
"Haemophilus_haemolyticus",0.698630136986301,0.691542047587334,0.520523489462774,"Haemophilus_haemolyticus"
"Veillonella_parvula",0.878082191780822,0.454220298278541,0.822558704688098,"Veillonella_parvula"
"Kingella_denitrificans",0.621917808219178,0.87504924219491,0.552333117464321,"Kingella_denitrificans"
"Planobacterium_taklimakanense",0.621917808219178,0.552100260337834,0.76590995426541,"Planobacterium_taklimakanense"
"Dialister_invisus",0.857534246575342,0.551573328489839,0.621260745653002,"Dialister_invisus"
"Prevotella_nigrescens",0.83013698630137,0.716249419789712,0.501158795453471,"Prevotella_nigrescens"
"Capnocytophaga_ochracea",0.887671232876712,0.534028677524167,0.645360891296053,"Capnocytophaga_ochracea"
"Tannerella_forsythia",0.947945205479452,0.407582692579363,0.877870211338813,"Tannerella_forsythia"
"Treponema_amylovorum",0.683561643835616,0.709223930899477,0.490663080644954,"Treponema_amylovorum"
"Aggregatibacter_aphrophilus",0.79041095890411,0.634293051603399,0.512867543613523,"Aggregatibacter_aphrophilus"
"Anaeroglobus_geminatus",0.706849315068493,0.551405017053137,0.556476727766052,"Anaeroglobus_geminatus"
"Haemophilus_parahaemolyticus",0.591780821917808,0.531754354099816,0.787348686654532,"Haemophilus_parahaemolyticus"
"Alloprevotella_tannerae",0.80958904109589,0.452441827611955,0.748461619141321,"Alloprevotella_tannerae"
"Prevotella_stercorea",0.505479452054794,0.636316320558616,0.805539746161055,"Prevotella_stercorea"
"Streptococcus_peroris",0.645205479452055,0.543676212387237,0.556782740521058,"Streptococcus_peroris"
"Brachymonas_denitrificans",0.591780821917808,0.525975056002906,0.797259212583038,"Brachymonas_denitrificans"
"Prevotella_denticola",0.821917808219178,0.456750216948195,0.729917211412483,"Prevotella_denticola"
"Prevotella_nanceiensis",0.958904109589041,0.430132187039616,0.777970595648209,"Prevotella_nanceiensis"
"Streptococcus_sanguinis",0.947945205479452,0.903559564892737,0.366267883325681,"Streptococcus_sanguinis"
"Megasphaera_micronuciformis",0.989041095890411,0.351840225222498,0.929408179264573,"Megasphaera_micronuciformis"
"Catenibacterium_mitsuokai",0.505479452054794,0.755636919537446,0.61603073190134,"Catenibacterium_mitsuokai"
"Campylobacter_rectus",0.552054794520548,0.725004137151622,0.536747751029,"Campylobacter_rectus"
"Treponema_lecithinolyticum",0.591780821917808,0.901161530544288,0.510796527626864,"Treponema_lecithinolyticum"
"Prevotella_enoeca",0.505479452054794,0.589867005711287,0.733409024020595,"Prevotella_enoeca"
"Mogibacterium_diversum",0.552054794520548,0.523223446550019,0.834319528497336,"Mogibacterium_diversum"
"Veillonella_infantium",0.552054794520548,0.523223446550019,0.707241942537662,"Veillonella_infantium"
"Klebsiella_pneumoniae",0.423287671232877,0.750967689854897,0.807689725546323,"Klebsiella_pneumoniae"
"Prevotella_sp_oral_taxon_306",0.552054794520548,0.517299449052491,0.967567642092025,"Prevotella_sp_oral_taxon_306"
"Campylobacter_gracilis",0.857534246575342,0.762024681641137,0.407490421258259,"Campylobacter_gracilis"
