"","Node1","Node2","Weight"
"11595","Actinomyces_massiliensis","Capnocytophaga_gingivalis",1
"11602","Propionibacterium_propionicum","Capnocytophaga_gingivalis",1
"11603","Neisseria_flavescens","Capnocytophaga_gingivalis",1
"11616","Corynebacterium_durum","Capnocytophaga_gingivalis",1
"11618","Kingella_oralis","Capnocytophaga_gingivalis",1
"11743","Fusobacterium_nucleatum","Prevotella_loescheii",1
"11952","Prevotella_denticola","Prevotella_oulorum",1
"12006","Selenomonas_flueggei","Prevotella_oulorum",1
"12041","Campylobacter_gracilis","Prevotella_oulorum",1
"12086","Centipeda_periodontii","Prevotella_oulorum",1
"12107","Prevotella_denticola","Atopobium_rimae",1
"12116","Prevotella_salivae","Atopobium_rimae",1
"12118","Anaeroglobus_geminatus","Atopobium_rimae",1
"12119","Olsenella_uli","Atopobium_rimae",1
"12128","Bifidobacterium_dentium","Atopobium_rimae",1
"12144","Slackia_exigua","Atopobium_rimae",1
"12151","Prevotella_oralis","Atopobium_rimae",1
"12155","Shuttleworthia_satelles","Atopobium_rimae",1
"12168","Selenomonas_sputigena","Atopobium_rimae",1
"12200","Prevotella_nigrescens","Atopobium_rimae",1
"12211","Prevotella_buccae","Atopobium_rimae",1
"12315","Treponema_socranskii","Treponema_maltophilum",1
"12648","Capnocytophaga_sputigena","Haemophilus_haemolyticus",1
"12778","Prevotella_pleuritidis","Johnsonella_ignava",1
