"","ChenC_2018","JesusV_2021","ZhengH_2015","ZhangX_2015","XiaoC_2016","HavsedK_2021","PangL_2021","GalimanasV_2014","JulianM_2017","NajmanovaL_2021","ProctorD_2018","SantosA_2021"
"Streptococcus_sobrinus",1,NA,1,-1,-1,-1,-1,NA,-1,NA,-3,-1
"Pseudomonas_stutzeri",3,NA,1,NA,-2,NA,NA,NA,3,1,-3,NA
"Bacteroides_acidifaciens",-1,NA,NA,NA,NA,-2,NA,NA,1,2,3,-1
"Bacteroides_intestinalis",-3,NA,NA,NA,-1,-1,NA,NA,-1,1,3,1
"Filifactor_alocis",-3,NA,-1,3,2,-3,NA,-3,-1,-3,3,1
"Prevotella_copri",1,NA,-1,-1,NA,1,1,NA,-1,NA,3,1
"Odoribacter_denticanis",-1,NA,NA,NA,1,NA,NA,NA,-1,-3,NA,-1
"Bacteroides_heparinolyticus",3,NA,-1,1,-1,NA,NA,NA,-1,-1,NA,-1
"Rothia_mucilaginosa",3,NA,-1,-1,-1,1,1,1,-3,1,-3,1
"Lachnoanaerobaculum_saburreum",2,NA,-1,1,1,1,1,-1,3,1,3,-1
"Brachymonas_denitrificans",3,NA,1,NA,1,-1,NA,1,1,-1,3,-1
"Prevotella_paludivivens",-3,NA,-1,NA,-1,1,NA,NA,1,NA,1,1
"Streptococcus_gordonii",3,NA,-1,-1,2,-1,-1,-1,-1,1,-3,-1
"Leptotrichia_hofstadii",3,NA,1,3,-1,-1,1,-1,1,1,-3,1
"Campylobacter_mucosalis",1,NA,NA,NA,NA,-1,NA,NA,-1,1,3,-1
"Streptococcus_sanguinis",3,NA,-1,3,1,1,1,-1,-1,3,3,-1
"Fusobacterium_periodonticum",3,NA,-3,3,1,-1,1,1,-3,3,3,-1
"Eubacterium_minutum",-3,NA,-1,3,3,NA,NA,-1,1,-1,-3,-1
"Campylobacter_showae",1,NA,-1,3,-1,1,-1,1,-1,1,3,1
"Tannerella_forsythia",-3,NA,-1,3,1,-1,-3,-2,3,-3,-3,-1
"Kingella_potus",-1,NA,NA,NA,-1,1,NA,NA,3,1,3,-1
"Capnocytophaga_granulosa",2,NA,-1,3,-1,1,-1,1,2,1,3,-1
"Neisseria_oralis",-1,NA,2,NA,3,1,NA,-1,-1,3,3,-1
"Helicobacter_pylori",NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,1
"Leptotrichia_hongkongensis",3,NA,1,NA,-1,1,NA,NA,-1,2,-3,1
"Gemella_haemolysans",1,NA,-1,-1,1,1,2,-1,-1,1,3,-1
"Slackia_exigua",-3,NA,1,-1,-1,2,-1,-1,-1,NA,-3,-1
"Actinomyces_viscosus",3,NA,-1,-1,1,2,1,-1,-1,2,3,-1
"Streptococcus_oralis",2,NA,1,-1,-1,1,-3,-1,-1,3,3,-1
"Desulfovibrio_fairfieldensis",-2,NA,1,NA,-1,-1,NA,NA,-1,-1,-3,1
"Streptococcus_sinensis",1,NA,-1,2,-1,-1,1,NA,-1,NA,3,-1
"Desulfobulbus_propionicus",-3,NA,-1,NA,1,NA,NA,NA,3,-3,-3,-1
"Cardiobacterium_valvarum",1,NA,-1,3,-1,1,1,-1,-1,1,3,-1
"Prevotella_pleuritidis",-3,NA,1,-3,-1,-3,-3,1,-1,-3,3,1
"Howardella_ureilytica",1,NA,-1,NA,NA,-3,NA,-1,-1,1,-3,-1
"Propionibacterium_acidifaciens",-1,NA,-1,-1,-1,-2,-3,1,NA,1,1,-1
"Gardnerella_vaginalis",1,NA,NA,NA,NA,1,NA,NA,3,NA,1,-1
"Parascardovia_denticolens",-1,NA,NA,1,NA,-3,-3,1,-1,NA,-3,-1
"Streptobacillus_moniliformis",-1,NA,NA,NA,-1,-1,NA,1,1,-3,3,-1
"Selenomonas_ruminantium",NA,NA,1,NA,2,-1,NA,1,1,NA,1,-1
"Eubacterium_sulci",1,NA,-1,-1,-1,1,-1,-1,-1,NA,2,-3
"Streptococcus_parasanguinis",3,NA,-1,-3,1,-1,-1,-1,-1,-1,3,-1
"Prevotella_oralis",-3,NA,-2,3,-1,-1,-1,-1,-1,-1,-3,1
"Actinomyces_graevenitzii",3,NA,-1,-3,1,1,1,-1,-1,2,-3,1
"Alloprevotella_rava",-1,NA,-1,-1,1,-1,-1,1,1,-3,3,-1
"Actinobacillus_porcinus",1,NA,NA,NA,NA,1,NA,NA,-1,1,3,1
"Pseudomonas_aeruginosa",NA,NA,1,NA,-3,-1,NA,NA,NA,NA,-3,-1
"Atopobium_parvulum",3,NA,1,-2,-1,1,-1,-1,1,1,-3,-1
"Stenotrophomonas_maltophilia",-1,NA,1,NA,-1,1,NA,NA,3,1,3,-1
"Pasteurella_pneumotropica",1,NA,NA,NA,NA,-3,NA,NA,1,1,-3,1
"Treponema_amylovorum",-2,NA,1,NA,1,-3,NA,-3,1,-3,3,1
"Prevotella_nanceiensis",3,NA,1,NA,-1,-1,NA,3,-1,3,3,-1
"Wolinella_succinogenes",-1,NA,1,NA,-1,-1,NA,NA,-1,-1,-1,-1
"Shuttleworthia_satelles",-1,NA,1,1,-1,-3,-2,-1,-1,NA,1,-1
"Propionivibrio_pelophilus",1,NA,-1,NA,1,1,NA,NA,3,NA,1,1
"Treponema_lecithinolyticum",-3,NA,-2,-1,1,-3,-1,-1,-3,-3,-3,1
"Neisseria_macacae",NA,NA,NA,3,NA,-1,-1,1,NA,NA,1,-1
"Streptococcus_intermedius",3,NA,1,NA,-1,-1,NA,-1,1,1,-3,-1
"Treponema_socranskii",-3,NA,-1,3,1,-1,-1,-1,2,-3,-3,-1
"Pyramidobacter_piscolens",-3,NA,1,-3,-1,NA,NA,NA,1,NA,-1,-1
"Dialister_pneumosintes",-3,NA,-1,2,1,-3,-1,-1,-1,-3,3,1
"Selenomonas_flueggei",1,NA,1,-1,-1,-1,-1,1,1,-1,-3,-1
"Peptostreptococcus_stomatis",-2,NA,-3,3,1,-3,-1,-3,-1,-1,3,1
"Lactobacillus_reuteri",1,NA,NA,NA,-1,-2,NA,1,-1,NA,-3,-1
"Mycoplasma_salivarium",-1,NA,-1,NA,-1,-1,NA,-1,3,-3,3,-1
