"","TangB_2023","SarkarP_2021","BelstromD_2021","GalimanasV_2014"
"Capnocytophaga_haemolytica",-1,-1,NA,1
"Clostridium_aminobutyricum",-1,-1,NA,1
"Porphyromonas_gulae",1,3,NA,3
"Veillonella_parvula",1,-2,-1,-1
"Actinomyces_cardiffensis",-1,-1,-1,-1
"Capnocytophaga_sputigena",1,1,-1,1
"Propionibacterium_acnes",-1,-3,NA,NA
"Mobiluncus_mulieris",1,-1,NA,NA
"Escherichia_coli",-3,3,NA,NA
"Treponema_medium",3,1,NA,-3
"Selenomonas_infelix",1,-1,NA,2
"Leptotrichia_goodfellowii",1,1,NA,-1
"Selenomonas_bovis",-1,-1,NA,NA
"Lactobacillus_fermentum",NA,1,NA,-1
"Neisseria_elongata",1,-1,1,-1
"Oribacterium_sinus",3,-1,-1,1
"Solobacterium_moorei",-1,-1,-1,-1
"Eggerthia_catenaformis",-1,1,NA,-1
"Granulicatella_elegans",2,-3,NA,-1
"Neisseria_subflava",1,-1,3,1
"Campylobacter_concisus",3,1,1,1
"Prevotella_melaninogenica",-1,1,1,-1
"Megasphaera_micronuciformis",-1,-1,-1,-1
"Cryptobacterium_curtum",-1,1,-1,1
"Abiotrophia_defectiva",1,-1,-1,-1
"Gemella_morbillorum",-1,1,-1,-1
"Lactococcus_lactis",1,-3,NA,NA
"Haemophilus_sputorum",-1,1,1,1
"Veillonella_atypica",-3,-1,-1,1
"Campylobacter_gracilis",3,1,-1,-1
"Streptococcus_australis",-1,-1,1,NA
"Phocaeicola_abscessus",2,-1,NA,1
"Campylobacter_rectus",1,-1,-1,1
"Streptococcus_constellatus",-1,-1,NA,-1
"Prevotella_nigrescens",3,1,-1,1
"Corynebacterium_matruchotii",1,-1,1,1
"Eikenella_corrodens",-1,-1,1,-1
"Parvimonas_micra",-3,1,-3,1
"Scardovia_wiggsiae",NA,-1,-1,1
"Fusobacterium_nucleatum",3,1,-2,-3
"Prevotella_saccharolytica",1,-1,NA,-1
"Catonella_morbi",3,1,NA,-3
"Morococcus_cerebrosus",NA,-2,-1,-1
"Actinomyces_massiliensis",3,-1,-1,1
"Streptococcus_salivarius",3,1,-3,-1
"Prevotella_buccae",1,-1,NA,-1
"Neisseria_meningitidis",3,1,NA,-1
"Alloscardovia_omnicolens",NA,1,-1,-1
"Staphylococcus_epidermidis",-1,-1,NA,-1
"Mogibacterium_timidum",1,-1,-1,NA
"Streptococcus_mutans",1,-1,-1,1
"Streptococcus_thermophilus",1,-1,-1,-1
"Propionibacterium_propionicum",3,-3,-1,-1
"Neisseria_flavescens",-3,-1,3,-1
"Streptococcus_anginosus",1,1,NA,-2
"Leptotrichia_trevisanii",-1,1,NA,-1
"Leptotrichia_wadei",-3,-2,1,1
"Streptococcus_mitis",1,-3,-1,-2
"Dialister_micraerophilus",-1,1,-1,NA
"Prevotella_oris",3,-1,-2,1
"Porphyromonas_catoniae",-1,-3,-1,-1
"Aggregatibacter_aphrophilus",1,-1,-1,-1
"Lachnoanaerobaculum_umeaense",-1,1,1,1
"Eubacterium_infirmum",-2,-1,-2,-1
"Neisseria_mucosa",-3,-1,2,1
"Haemophilus_pittmaniae",-1,-1,1,-1
"Prevotella_micans",3,-1,NA,-1
"Kingella_denitrificans",-1,-2,1,1
"Veillonella_denticariosi",-1,3,NA,1
"Corynebacterium_durum",3,1,1,2
"Neisseria_bacilliformis",1,-1,-1,1
"Kingella_oralis",1,1,-1,-1
"Cardiobacterium_hominis",3,-1,-1,-2
"Fretibacterium_fastidiosum",1,1,-1,-3
"Streptococcus_peroris",-1,-3,-3,-1
"Olsenella_profusa",3,-1,NA,NA
"Lactobacillus_gasseri",NA,1,NA,NA
"Selenomonas_artemidis",1,-1,NA,3
"Streptococcus_infantis",-3,-3,2,-3
"Prevotella_histicola",1,1,-1,-1
"Aggregatibacter_segnis",1,-1,1,-1
"Streptococcus_suis",-1,-1,NA,-1
"Prevotella_multiformis",1,-1,NA,-1
"Centipeda_periodontii",-1,-1,NA,1
"Actinomyces_israelii",3,-1,NA,-1
"Actinomyces_naeslundii",-1,-2,1,1
"Actinomyces_turicensis",-1,1,NA,-1
"Streptococcus_lactarius",-1,-3,NA,-1
"Capnocytophaga_gingivalis",-1,1,-1,-1
"Prevotella_loescheii",3,-3,NA,-1
"Veillonella_tobetsuensis",1,1,1,-1
"Prevotella_oulorum",-1,-1,1,1
"Sneathia_sanguinegens",1,-1,NA,NA
"Atopobium_rimae",1,-1,-1,-1
"Selenomonas_dianae",-1,-1,NA,-1
"Treponema_maltophilum",1,1,NA,-3
"Treponema_vincentii",1,-1,NA,1
"Butyrivibrio_proteoclasticus",NA,-1,NA,1
"Haemophilus_haemolyticus",-1,-1,1,-1
"Johnsonella_ignava",3,1,-1,1
"Moryella_indoligenes",1,1,NA,NA
"Stomatobaculum_longum",1,1,-1,-1
"Veillonella_caviae",-3,-2,NA,-1
"Clostridium_phytofermentans",NA,1,NA,1
"Peptostreptococcus_anaerobius",-2,-1,NA,1
"Neisseria_perflava",NA,-1,3,NA
"Staphylococcus_aureus",NA,-2,NA,NA
"Prevotella_jejuni",NA,3,1,NA
"Bifidobacterium_longum",NA,-3,-1,-1
"Actinomyces_johnsonii",NA,-1,1,NA
"Kingella_kingae",1,1,NA,NA
"Porphyromonas_somerae",NA,1,-1,NA
"Aggregatibacter_sp_oral_taxon_458",NA,NA,1,NA
"Haemophilus_sp_HMSC71H05",NA,NA,1,NA
"Lachnospiraceae_bacterium_oral_taxon_096",NA,NA,3,NA
"Leptotrichia_sp_oral_taxon_215",NA,NA,-1,NA
"Prevotella_sp_oral_taxon_306",NA,NA,3,NA
"Tannerella_sp_oral_taxon_HOT_286",NA,NA,3,NA
"Actinomyces_sp_HMSC035G02",NA,NA,1,NA
"Actinomyces_sp_HPA0247",NA,NA,1,NA
"Actinomyces_sp_ICM47",NA,NA,3,NA
"Actinomyces_sp_S6_Spd3",NA,NA,1,NA
"Actinomyces_sp_oral_taxon_181",NA,NA,-1,NA
"Oribacterium_asaccharolyticum",NA,NA,-1,NA
"Oribacterium_parvum",NA,NA,1,NA
"Streptococcus_sp_A12",NA,NA,3,NA
"Streptococcus_sp_F0442",NA,NA,1,NA
"Streptococcus_sp_HMSC034E03",NA,NA,-1,NA
"Streptococcus_sp_HMSC067H01",NA,NA,1,NA
"Streptococcus_sp_HMSC071D03",NA,NA,-1,NA
"Streptococcus_sp_HPH0090",NA,NA,-1,NA
"Veillonella_infantium",NA,NA,-1,NA
"Veillonella_sp_T11011_6",NA,NA,1,NA
