"","Iter_1","Iter_2","Iter_3","Iter_4","Iter_5","Iter_6","Iter_7","Iter_8","Iter_9","Iter_10"
"Veillonella_rogosae",0.955823293172691,0.964859437751004,0.960843373493976,0.914658634538153,0.98391959798995,0.986934673366834,0.955778894472362,0.961809045226131,0.934673366834171,0.92570281124498
"Rothia_aeria",0.987951807228916,0.992971887550201,0.894578313253012,0.721887550200803,0.906532663316583,0.973869346733668,0.834170854271357,0.757788944723618,0.987939698492462,0.971887550200803
"Aggregatibacter_actinomycetemcomitans",0.955823293172691,0.964859437751004,0.813253012048193,0.874497991967871,0.856281407035176,0.844221105527638,0.642211055276382,0.757788944723618,0.895477386934673,0.633534136546185
"Butyrivibrio_hungatei",0.726907630522088,0.864457831325301,0.569277108433735,0.690763052208835,0.939698492462312,0.277386934673367,0.642211055276382,0.505527638190955,0.810050251256281,0.795180722891566
"Streptococcus_vestibularis",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.493467336683417,0.418090452261307,0.341708542713568,0.391959798994975,0.417670682730924
"Veillonella_dispar",0.662650602409639,0.0261044176706827,0.187751004016064,0.179718875502008,0.0201005025125628,0.158793969849246,0.0130653266331658,0.0532663316582915,0.0532663316582915,0.417670682730924
"Acinetobacter_johnsonii",0.524096385542169,0.464859437751004,0.149598393574297,0.802208835341365,0.0974874371859296,0.764824120603015,0.127638190954774,0.341708542713568,0.725628140703518,0.417670682730924
"Eubacterium_saphenum",0.070281124497992,0.0632530120481928,0.0692771084337349,0.0261044176706827,0.0201005025125628,0.0110552763819095,0.0130653266331658,0.341708542713568,0.0663316582914573,0.225903614457831
"Leptotrichia_buccalis",0.934738955823293,0.828313253012048,0.784136546184739,0.320281124497992,0.619095477386935,0.922613065326633,0.595979899497487,0.889447236180904,0.955778894472362,0.573293172690763
"Clostridium_ruminantium",0.150602409638554,0.464859437751004,0.21285140562249,0.320281124497992,0.676381909547739,0.320603015075377,0.418090452261307,0.559798994974874,0.391959798994975,0.225903614457831
"Actinomyces_odontolyticus",0.726907630522088,0.864457831325301,0.400602409638554,0.874497991967871,0.856281407035176,0.844221105527638,0.74070351758794,0.559798994974874,0.856281407035176,0.633534136546185
"Bradyrhizobium_elkanii",0.524096385542169,0.464859437751004,0.618473895582329,0.721887550200803,0.334673366834171,0.204020100502513,0.418090452261307,0.341708542713568,0.391959798994975,0.633534136546185
"Neisseria_cinerea",0.524096385542169,0.725903614457831,0.400602409638554,0.534136546184739,0.676381909547739,0.493467336683417,0.74070351758794,0.341708542713568,0.725628140703518,0.733935742971888
"Neisseria_sicca",0.987951807228916,0.864457831325301,0.960843373493976,0.721887550200803,0.856281407035176,0.844221105527638,0.418090452261307,0.757788944723618,0.810050251256281,0.894578313253012
"Prevotella_baroniae",0.105421686746988,0.464859437751004,0.21285140562249,0.320281124497992,0.334673366834171,0.136683417085427,0.418090452261307,0.834170854271357,0.229145728643216,0.417670682730924
"Capnocytophaga_leadbetteri",0.798192771084337,0.864457831325301,0.711847389558233,0.534136546184739,0.856281407035176,0.764824120603015,0.74070351758794,0.667336683417085,0.391959798994975,0.733935742971888
"Prevotella_pallens",0.662650602409639,0.91566265060241,0.969879518072289,0.75,0.923618090452261,0.710552763819095,0.806030150753769,0.609045226130653,0.914572864321608,0.90863453815261
"Treponema_denticola",0.29718875502008,0.678714859437751,0.400602409638554,0.75,0.612060301507538,0.710552763819095,0.681407035175879,0.889447236180904,0.829145728643216,0.555220883534137
"Eubacterium_brachy",0.662650602409639,0.823293172690763,0.543172690763052,0.681726907630522,0.619095477386935,0.710552763819095,0.681407035175879,0.725628140703518,0.914572864321608,0.555220883534137
"Porphyromonas_endodontalis",0.105421686746988,0.626506024096386,0.400602409638554,0.144578313253012,0.514572864321608,0.493467336683417,0.418090452261307,0.757788944723618,0.568844221105528,0.417670682730924
"Eubacterium_yurii",0.955823293172691,0.992971887550201,0.991967871485944,0.968875502008032,0.990954773869347,0.993969849246231,0.997989949748744,0.992964824120603,0.934673366834171,0.991967871485944
"Prevotella_shahii",0.97289156626506,0.93574297188755,0.832329317269076,0.947791164658635,0.737688442211055,0.95678391959799,0.98391959798995,0.78894472361809,0.568844221105528,0.894578313253012
"Actinomyces_howellii",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.493467336683417,0.418090452261307,0.341708542713568,0.391959798994975,0.417670682730924
"Prevotella_denticola",0.38855421686747,0.321285140562249,0.64859437751004,0.144578313253012,0.737688442211055,0.320603015075377,0.584924623115578,0.341708542713568,0.247236180904523,0.832329317269076
"Actinobacillus_minor",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.493467336683417,0.418090452261307,0.341708542713568,0.391959798994975,0.417670682730924
"Haemophilus_haemoglobinophilus",0.987951807228916,0.964859437751004,0.960843373493976,0.991967871485944,0.9678391959799,0.986934673366834,0.98391959798995,0.982914572864322,0.934673366834171,0.991967871485944
"Prevotella_scopos",0.857429718875502,0.91566265060241,0.949799196787149,0.914658634538153,0.569849246231156,0.893467336683417,0.834170854271357,0.982914572864322,0.856281407035176,0.815261044176707
"Actinomyces_oris",0.524096385542169,0.0923694779116466,0.21285140562249,0.534136546184739,0.0351758793969849,0.204020100502513,0.127638190954774,0.341708542713568,0.127638190954774,0.0592369477911647
"Megasphaera_elsdenii",0.242971887550201,0.268072289156627,0.400602409638554,0.0813253012048193,0.334673366834171,0.277386934673367,0.418090452261307,0.341708542713568,0.725628140703518,0.417670682730924
"Dialister_invisus",0.38855421686747,0.607429718875502,0.64859437751004,0.368473895582329,0.804020100502513,0.339698492462312,0.237185929648241,0.505527638190955,0.78391959798995,0.832329317269076
"Granulicatella_adiacens",0.150602409638554,0.0431726907630522,0.035140562248996,0.0813253012048193,0,0.0110552763819095,0.0130653266331658,0.0623115577889447,0,0.0210843373493976
"Prevotella_enoeca",0.242971887550201,0.659638554216867,0.813253012048193,0.534136546184739,0.774874371859297,0.493467336683417,0.418090452261307,0.757788944723618,0.631155778894472,0.573293172690763
"Streptococcus_cristatus",0.328313253012048,0.659638554216867,0.21285140562249,0.721887550200803,0.569849246231156,0.493467336683417,0.418090452261307,0.559798994974874,0.856281407035176,0.225903614457831
"Veillonella_montpellierensis",0.798192771084337,0.464859437751004,0.400602409638554,0.968875502008032,0.774874371859297,0.764824120603015,0.895477386934673,0.341708542713568,0.631155778894472,0.417670682730924
"Moraxella_lacunata",0.897590361445783,0.864457831325301,0.711847389558233,0.534136546184739,0.856281407035176,0.764824120603015,0.895477386934673,0.667336683417085,0.391959798994975,0.859437751004016
"Lachnoanaerobaculum_orale",0.0421686746987952,0.140562248995984,0.241967871485944,0.144578313253012,0.0542713567839196,0.0562814070351759,0.0673366834170854,0.341708542713568,0.631155778894472,0.417670682730924
"Bacillus_pumilus",0.857429718875502,0.464859437751004,0.618473895582329,0.721887550200803,0.569849246231156,0.687437185929648,0.955778894472362,0.559798994974874,0.391959798994975,0.859437751004016
"Orientia_tsutsugamushi",0.897590361445783,0.964859437751004,0.930722891566265,0.968875502008032,0.98391959798995,0.973869346733668,0.955778894472362,0.961809045226131,0.934673366834171,0.991967871485944
"Terrahaemophilus_aromaticivorans",0.242971887550201,0.464859437751004,0.400602409638554,0.234939759036145,0.0974874371859296,0.493467336683417,0.127638190954774,0.108542713567839,0.127638190954774,0.417670682730924
"Propionigenium_maris",0.524096385542169,0.464859437751004,0.400602409638554,0.534136546184739,0.334673366834171,0.493467336683417,0.418090452261307,0.341708542713568,0.391959798994975,0.417670682730924
