"","LeeW_2017","YuF_2020","WangT_2018","TongY_2019","ArmstrongA_2023a","LundmarkA_2019","MakinenA_2023","BelstromD_2021","WangX_2020","JulianM_2017","ZhuC_2018","MoskovitzM_2021","GuptaA_2022","BelstromD_2017","ArmstrongA_2023b","ZiganshinaE_2020","FanX_2018b","WangB_2020","HuangC_2022","WangQ_2019","ZhengX_2017","WangK_2016","RussoE_2018","ZellerG_2014B","LindheimL_2016","AbdelbaryM_2022","NagataN_2022","LinM_2020","TianN_2017","JiangQ_2019","LiuY_2019","WolfA_2017","LeeY_2025","RiveraV_2025","TakahashiY_2019","RafiqulI_2022","KumpitschC_2020","DebeliusJ_2020"
"Porphyromonas_catoniae",1,1,1,3,-1,-1,-1,1,1,1,1,-1,0,-1,1,3,-1,-1,1,3,-1,-1,-1,-1,-1,3,-2,-1,-1,1,-2,2,1,-3,-1,3,2,-1
"Kingella_denitrificans",-1,0,-1,1,2,-1,1,1,-1,2,-1,0,0,-1,-1,-1,1,1,1,-1,1,-1,3,3,-1,1,1,-2,-1,-2,-1,-1,-1,0,1,3,0,3
"Alloprevotella_rava",3,-2,-1,-1,1,1,1,1,3,1,-1,3,0,1,1,-1,-1,3,-3,-1,-1,-1,1,-1,3,1,-1,-1,1,-1,1,-1,-1,2,1,3,-3,2
"Cardiobacterium_valvarum",3,-1,3,1,1,-1,-1,1,1,1,1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,3,-1,-1,-1,1,-1,-1,-1,1,1,-1,-2,3
"Simonsiella_muelleri",-1,-1,1,2,-3,1,1,1,-1,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,-1,3,-3,3,3,1,-1,3,1,1,1,-2,1,-1,3,1,3
"Leptotrichia_hofstadii",3,-1,1,-1,-1,1,2,3,1,2,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,2,1,-1,-1,-2,-3,1,1,1,-1,3,3,3
"Streptobacillus_moniliformis",-1,2,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,0,0,1,-1,-1,1,1,1,1,-1,0,2,-1,0,-1,1,1,1,-1,-1,-1,3,3,1,3
"Prevotella_shahii",3,-3,3,3,-1,1,1,3,2,1,-1,-1,0,3,1,2,1,-1,1,1,-1,-1,1,-1,-1,3,1,2,1,2,1,1,1,-1,1,3,2,-3
"Prevotella_scopos",2,0,-3,-1,-1,1,1,1,2,0,1,0,0,3,1,1,-1,0,-1,1,1,-1,2,3,3,-1,-2,-1,-1,1,-1,-1,-1,0,1,3,0,3
"Butyrivibrio_fibrisolvens",1,-1,1,-2,-1,1,1,0,1,-1,-1,0,0,0,0,-1,1,-1,-1,-1,-1,1,-1,0,3,1,0,-1,-1,-1,-1,-1,-2,2,1,1,3,3
"Moryella_indoligenes",3,-1,1,-1,3,-1,1,0,1,1,-1,-1,0,0,0,-1,1,-3,-1,-3,0,-1,3,0,0,2,0,-1,-1,-1,1,3,-1,1,-1,0,3,3
"Actinobacillus_rossii",-1,-1,3,1,1,1,1,0,1,-1,-3,-1,0,0,0,-1,-1,2,1,3,0,-1,1,0,0,1,0,1,3,2,-1,3,1,-2,-2,1,3,1
"Olsenella_profusa",-1,3,3,-1,1,-1,1,1,1,2,-1,-1,0,1,-1,2,-1,-2,-1,3,0,-1,2,3,0,-1,-1,-1,-1,-1,-1,-1,-3,3,1,1,-1,3
"Prevotella_amnii",1,3,2,1,1,-1,0,0,1,3,-1,0,0,0,0,-1,-1,1,1,-1,0,-1,3,0,0,0,0,-1,1,-1,1,0,0,1,-1,1,0,1
"Prevotella_pleuritidis",-1,3,1,-1,3,1,1,-1,-1,-1,2,1,0,-1,1,-1,1,1,3,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-3,-2,-1,3,3,3,-1,-3
"Kingella_potus",3,-1,-1,-1,1,-1,1,0,-1,1,1,-1,0,0,0,1,-1,2,-1,1,-1,1,3,0,1,1,0,-1,0,-3,-1,1,-1,0,-1,3,2,3
"Selenomonas_artemidis",-3,2,1,-3,-1,1,-3,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,1,1,-3,-1,1,1,-1,1,1,2,1,-1,-1,1,3,3,-3
"Bacteroides_caccae",-3,-3,-3,-1,-1,0,0,0,1,0,-3,0,0,0,0,-1,-1,-1,0,0,0,-1,2,0,-3,0,0,-1,0,0,0,-1,0,1,3,3,-1,-1
"Corynebacterium_kroppenstedtii",-3,-1,0,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,1,-1,0,0,-1,0,1,-1,-1,-1,0,1,0,-1,-1,1,-1,-1,-1,-3
"Lactobacillus_casei",-3,0,2,-1,1,-1,-1,0,1,1,0,0,0,0,0,0,2,-1,-1,-1,1,-1,0,0,0,-1,0,-1,0,0,1,-1,-2,1,-1,-1,-1,-3
"Actinomyces_radicidentis",-3,-1,0,-1,-1,1,-2,0,-1,-1,1,0,0,0,0,0,1,1,1,-1,0,-1,-1,-1,0,-1,1,-1,0,1,0,-1,-1,-1,-1,0,-1,-3
"Bacteroides_plebeius",-3,-3,-3,1,1,0,0,0,2,0,-1,0,0,0,0,0,0,1,-1,-1,1,1,-2,0,-3,1,0,-1,0,0,0,0,-1,3,3,1,1,0
