"","HealthAssociationScore"
"Streptobacillus_moniliformis",0.862795705434805
"Gemella_bergeri",0.432126495933483
"Selenomonas_ruminantium",0.596874936933664
"Eubacterium_sulci",0.829147746765958
"Veillonella_ratti",0.677467356864645
"Desulfobulbus_rhabdoformis",0.642707412564832
"Lactobacillus_mucosae",0.289682751104922
"Streptococcus_parasanguinis",0.38798238178846
"Eubacterium_ramulus",0.569734011422575
"Ralstonia_solanacearum",0.766102298641803
"Prevotella_oralis",0.269938245444088
"Actinomyces_graevenitzii",0.913006296542956
"Alloprevotella_rava",0.872211055276382
"Paraprevotella_clara",0.463954006982705
"Actinobacillus_porcinus",0.294943391657081
"Pseudomonas_aeruginosa",0.268716272123671
"Atopobium_parvulum",0.453583984177918
"Stenotrophomonas_maltophilia",0.641356985731872
"Anaerovorax_odorimutans",0.741905915117757
"Megamonas_funiformis",0.636316320558616
"Pasteurella_pneumotropica",0.621082420132792
"Treponema_amylovorum",0.709223930899477
"Prevotella_nanceiensis",0.430132187039616
"Wolinella_succinogenes",0.778687715686868
"Lactobacillus_frumenti",0.219875078202256
"Shuttleworthia_satelles",0.720643680248633
"Treponema_lecithinolyticum",0.901161530544288
"Neisseria_macacae",0.621082420132792
"Moraxella_osloensis",0.614823716978467
"Streptococcus_intermedius",0.497912050210894
"Treponema_socranskii",0.769056628524147
"Pyramidobacter_piscolens",0.49558545740752
"Dialister_pneumosintes",0.31713355936308
"Selenomonas_flueggei",0.0638824645314928
"Peptostreptococcus_stomatis",0.241425702811245
"Lactobacillus_reuteri",0.133704466105629
"Butyrivibrio_fibrisolvens",0.858649875885451
"Mycoplasma_salivarium",0.733419809892838
"Mobiluncus_curtisii",0.455813505277391
"Simonsiella_muelleri",0.869310508365119
"Actinomyces_oricola",0.323034651167484
"Barnesiella_viscericola",0.618705172448588
"Prevotella_aurantiaca",0.942235777279974
"Leptotrichia_amnionii",0.621082420132792
"Leptotrichia_shahii",0.442506912070392
"Capnocytophaga_ochracea",0.534028677524167
"Prevotella_ruminicola",0.563851587253537
"Gemella_sanguinis",0.541950515630361
"Conchiformibius_steedae",0.432126495933483
"Prevotella_intermedia",0.140135113317592
"Porphyromonas_uenonis",0.478739076910658
"Prevotella_fusca",0.922543742810438
"Selenomonas_sputigena",0.0893065730257714
"Veillonella_rodentium",0.247181691590483
"Klebsiella_pneumoniae",0.750967689854897
"Bulleidia_extructa",0.20745040463361
"Haemophilus_parahaemolyticus",0.531754354099816
"Alloprevotella_tannerae",0.452441827611955
"Alkaliphilus_crotonatoxidans",0.432632842929507
"Actinomyces_georgiae",0.771372827995399
"Bilophila_wadsworthia",0.396803697200864
"Streptococcus_oligofermentans",0.531190187887227
"Actinomyces_lingnae",0.581682206211782
"Streptococcus_equinus",0.266910254081653
"Lactobacillus_salivarius",0.0502365239853888
"Lactobacillus_crispatus",0.112695102016105
"Prevotella_maculosa",0.520026740126334
"Haemophilus_influenzae",0.411153256241045
"Moraxella_bovoculi",0.621082420132792
