"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Haemophilus_haemoglobinophilus",4,0,0.159999600001,4,0,0.159999600001,4,0,0.159999600001,5,0,0.1999996000008,4,0,0.159999600001,5,0,0.1999996000008,4,0,0.159999600001,5,0,0.1999996000008,3,0,0.119999600001333,6,0,0.239999600000667
"Prevotella_scopos",3,1,0.0533331555561481,4,1,0.0899997750005625,5,1,0.127999744000512,2,0,0.079999600002,2,1,0.0199999000005,2,0,0.079999600002,3,1,0.0533331555561481,5,0,0.1999996000008,2,0,0.079999600002,3,1,0.0533331555561481
"Actinomyces_oris",1,1,0,0,2,-0.079999600002,1,2,-0.0199999000005,0,0,0,0,2,-0.079999600002,0,1,-0.039999600004,0,1,-0.039999600004,1,1,0,0,1,-0.039999600004,0,2,-0.079999600002
"Megasphaera_elsdenii",0,1,-0.039999600004,1,2,-0.0199999000005,1,1,0,0,2,-0.079999600002,1,1,0,1,2,-0.0199999000005,1,1,0,1,1,0,1,0,0.039999600004,1,1,0
"Dialister_invisus",3,4,-0.0099999750000625,4,3,0.0099999750000625,5,3,0.031999936000128,2,3,-0.013333288889037,6,3,0.0599999000001667,3,4,-0.0099999750000625,2,3,-0.013333288889037,3,2,0.013333288889037,4,2,0.03999990000025,5,2,0.071999856000288
"Granulicatella_adiacens",1,3,-0.0533331555561481,0,3,-0.119999600001333,1,4,-0.0899997750005625,0,2,-0.079999600002,0,5,-0.1999996000008,0,4,-0.159999600001,0,3,-0.119999600001333,1,3,-0.0533331555561481,0,5,-0.1999996000008,0,3,-0.119999600001333
"Prevotella_enoeca",0,1,-0.039999600004,2,1,0.0199999000005,3,1,0.0533331555561481,1,1,0,3,1,0.0533331555561481,1,1,0,2,2,0,3,1,0.0533331555561481,2,1,0.0199999000005,3,2,0.013333288889037
"Streptococcus_cristatus",1,2,-0.0199999000005,2,1,0.0199999000005,1,2,-0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,2,2,0,1,1,0,2,1,0.0199999000005,2,0,0.079999600002,1,2,-0.0199999000005
"Veillonella_montpellierensis",1,0,0.039999600004,1,1,0,1,1,0,3,0,0.119999600001333,3,1,0.0533331555561481,1,0,0.039999600004,2,0,0.079999600002,1,1,0,2,1,0.0199999000005,1,1,0
"Moraxella_lacunata",2,0,0.079999600002,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002,1,0,0.039999600004,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002
"Lachnoanaerobaculum_orale",0,3,-0.119999600001333,1,3,-0.0533331555561481,2,3,-0.013333288889037,1,3,-0.0533331555561481,1,3,-0.0533331555561481,1,4,-0.0899997750005625,1,3,-0.0533331555561481,2,2,0,2,1,0.0199999000005,2,2,0
"Bacillus_pumilus",3,1,0.0533331555561481,1,1,0,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,3,0,0.119999600001333,2,1,0.0199999000005,1,1,0,2,0,0.079999600002
"Orientia_tsutsugamushi",2,0,0.079999600002,4,0,0.159999600001,3,0,0.119999600001333,3,0,0.119999600001333,5,0,0.1999996000008,4,0,0.159999600001,3,0,0.119999600001333,4,0,0.159999600001,3,0,0.119999600001333,6,0,0.239999600000667
"Terrahaemophilus_aromaticivorans",0,1,-0.039999600004,0,0,0,0,0,0,0,1,-0.039999600004,0,1,-0.039999600004,0,0,0,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,0,0
"Propionigenium_maris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
