"","Axis1","Axis2","Axis3","HAC","cluster","cx","cy","cluster_factor","High_HAC","Module1"
"Capnocytophaga_gingivalis",-12.5498347895116,-3.28322609320404,0.371612830456464,1,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Kingella_oralis",-12.7763443652799,4.27100339121175,-3.87673986059412,0.993769470404984,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Capnocytophaga_leadbetteri",-7.18390663947761,-9.70537799275253,-3.12539988085734,0.987538940809969,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Lautropia_mirabilis",-13.4783886786856,-0.917447857990698,2.87601114775994,0.97196261682243,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Capnocytophaga_granulosa",-5.94844272774327,-7.87786149516374,-6.05088386196516,0.97196261682243,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Capnocytophaga_sputigena",-12.7185922199587,-7.22615111429293,0.498326675837778,0.97196261682243,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Corynebacterium_durum",-13.3230219416605,-0.0851554589132844,4.0749322848547,0.97196261682243,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Streptococcus_sanguinis",-15.6231312240012,5.3566872125066,4.81095826197324,0.956386292834891,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Capnocytophaga_ochracea",-3.64363546765755,-3.91515982749742,-8.47430196235853,0.950155763239875,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Corynebacterium_matruchotii",-9.44754523307324,0.555599796133985,-6.65430838409249,0.94392523364486,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Cardiobacterium_hominis",-12.2878366637187,-7.76815031816819,-0.0337805237599404,0.937694704049844,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Rothia_aeria",-13.9447494213902,2.51696827085461,4.91982045652466,0.928348909657321,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Veillonella_parvula",-3.52890764735915,11.1726093984348,-4.32728482754509,0.928348909657321,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Actinomyces_massiliensis",-13.1688022672156,2.20114615845952,-0.827711546880721,0.919003115264797,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Prevotella_saccharolytica",1.30335458563125,-10.5294677218176,-2.86484552190035,0.912772585669782,2,7.82153848877322,0.315421364480375,"2",TRUE,FALSE
"Streptococcus_mitis",-10.1999425769371,5.72870280338956,2.81509435185943,0.903426791277259,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Porphyromonas_catoniae",-6.14498367362164,-8.2824725709086,1.36952521252658,0.903426791277259,1,-6.50576565888614,-0.262359826530405,"1",TRUE,TRUE
"Streptococcus_oralis",-9.96113554509658,5.37126178061979,0.197625410775792,0.88785046728972,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Campylobacter_concisus",-1.72793634598656,-3.25434074696549,-9.22088256024579,0.88785046728972,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Prevotella_loescheii",-2.01108483507338,-11.8615753298125,-3.78602642980487,0.88785046728972,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Neisseria_elongata",-12.9419986862899,-5.84048872094142,1.84380147341969,0.872274143302181,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Gemella_morbillorum",-3.39108133098746,-9.77475318019897,-3.13224511410514,0.872274143302181,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Actinomyces_naeslundii",-12.1855004688244,1.92442248243369,-1.61717159946631,0.862928348909657,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Rothia_dentocariosa",-12.8751843725199,11.60570988814,3.20248571435247,0.856697819314642,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Streptococcus_gordonii",-5.78871061294436,7.6124670775551,-3.28589685036288,0.850467289719626,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Propionibacterium_propionicum",-9.28788916707269,-7.97816156857683,1.0096562147493,0.844236760124611,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Campylobacter_gracilis",5.75417944000531,1.00629760540434,-10.0306458441861,0.838006230529595,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Eikenella_corrodens",-9.68885457014439,-12.242319829323,-2.45688161496491,0.831775700934579,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Leptotrichia_wadei",4.64025945245022,1.02531472524803,-10.1728648225864,0.825545171339564,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Leptotrichia_hofstadii",-4.97159170706633,-6.76544093214676,-6.51689703267492,0.819314641744548,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Actinomyces_oris",-9.98342043031488,8.64940080734805,0.359656624513269,0.813084112149533,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Actinomyces_sp_oral_taxon_448",-3.75511898085458,7.50516568944988,-0.168022034790827,0.806853582554517,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Veillonella_dispar",-4.82829182966442,10.181405756647,-2.59391166366278,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Granulicatella_adiacens",-10.0809029472148,-0.309172962817902,-1.82478090914146,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Streptococcus_cristatus",-6.53659419584682,0.857722937438949,-4.89609202610883,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Haemophilus_parainfluenzae",-13.583096899631,4.43120117021309,4.1944537406803,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Cardiobacterium_valvarum",-7.90548311360002,-11.4526448492826,-2.31617867699486,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Prevotella_melaninogenica",6.96712592098019,2.39476798390278,-3.95306191927378,0.775700934579439,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Streptococcus_thermophilus",-6.11574586834668,7.61478460796429,2.74735387141362,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Lachnoanaerobaculum_umeaense",-1.50248821291258,-2.371674616979,2.43545270262682,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Aggregatibacter_segnis",-5.5519222515112,-8.66807009161105,-0.468854718553263,0.775700934579439,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Selenomonas_artemidis",-0.324204165845423,-3.06764676158521,-10.4209930596662,0.741433021806854,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Prevotella_oulorum",8.87175334691462,4.21850549199461,-9.03436224728225,0.741433021806854,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Actinomyces_odontolyticus",-6.53873393749892,1.62393442390175,-3.365900189322,0.73208722741433,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Prevotella_nigrescens",9.94844405229952,-0.137606913410117,-5.16910199221389,0.725856697819315,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Eubacterium_yurii",-0.849998550230128,-10.0786421949317,2.10665447149716,0.719626168224299,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Actinomyces_georgiae",-3.35838301387894,-3.43629353878041,-8.13605965969986,0.713395638629283,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Selenomonas_flueggei",7.64631970616144,0.959193813223771,-6.03414370294155,0.707165109034268,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Streptococcus_anginosus",-2.77100643410786,5.42362049070904,1.38832171558535,0.697819314641745,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Centipeda_periodontii",8.56944660721264,-4.87180184910431,-2.44544253157017,0.697819314641745,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Selenomonas_infelix",5.62525097306692,-6.49335924730611,-4.0194700653679,0.688473520249221,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Rothia_mucilaginosa",-10.6428098863415,8.34295409066263,3.14452847888812,0.679127725856698,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Stomatobaculum_longum",6.41061531187122,6.24883213480997,-6.49108022859087,0.679127725856698,2,7.82153848877322,0.315421364480375,"2",FALSE,FALSE
"Campylobacter_showae",-3.1221582624544,-14.6737105718453,-2.8220369289011,0.660436137071651,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Leptotrichia_shahii",-3.68199434067507,0.375916537292779,0.370080755326375,0.660436137071651,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
"Aggregatibacter_aphrophilus",-8.71842070880806,-5.00791305181606,2.71771859538018,0.660436137071651,1,-6.50576565888614,-0.262359826530405,"1",FALSE,TRUE
