"","tax_id","lineage","species","subsite"
"...72",45242,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga granulosa","Capnocytophaga granulosa","supragingival"
"...73",1655,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii","Actinomyces naeslundii","supragingival"
"...74",52768,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Actinomyces georgiae","Actinomyces georgiae","supragingival"
"...75",633701,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Prevotella saccharolytica","Prevotella saccharolytica","supragingival"
"...76",82203,"Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;Centipeda periodontii","Centipeda periodontii","supragingival"
"...77",41976,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae","Porphyromonas catoniae","subgingival"
"...78",2718,"Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium hominis","Cardiobacterium hominis","subgingival"
"...79",1017,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis","Capnocytophaga gingivalis","subgingival"
"...80",327575,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga leadbetteri","Capnocytophaga leadbetteri","subgingival"
"...81",461393,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces massiliensis","Actinomyces massiliensis","subgingival"
"...82",61592,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium durum","Corynebacterium durum","subgingival"
"...83",43768,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium matruchotii","Corynebacterium matruchotii","subgingival"
"...84",1019,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga sputigena","Capnocytophaga sputigena","subgingival"
"...85",505,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;Kingella oralis","Kingella oralis","subgingival"
"...86",172042,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia aeria","Rothia aeria","subgingival"
"...87",29466,"Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula","Veillonella parvula","subgingival"
"...88",1018,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga ochracea","Capnocytophaga ochracea","subgingival"
"...89",1305,"Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis","Streptococcus sanguinis","subgingival"
"...90",47671,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis","Lautropia mirabilis","subgingival"
"...91",45242,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga granulosa","Capnocytophaga granulosa","subgingival"
"...92",633701,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Prevotella saccharolytica","Prevotella saccharolytica","subgingival"
"...93",28037,"Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis group;Streptococcus mitis","Streptococcus mitis","subgingival"
"...94",199,"Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus","Campylobacter concisus","tongue"
"...95",671218,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava","Alloprevotella rava","tongue"
"...96",143393,"Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;unclassified Anaerovoracaceae Incertae Sedis;Eubacterium sulci","Eubacterium sulci","tongue"
"...97",423477,"Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae","Veillonella rogosae","tongue"
"...98",467210,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum saburreum","Lachnoanaerobaculum saburreum","tongue"
"...99",237576,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus","Oribacterium sinus","tongue"
"...100",484,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria flavescens","Neisseria flavescens","tongue"
