"","Axis1","Axis2","Axis3","HAC","cluster","cx","cy","cluster_factor","High_HAC","Module2"
"Streptococcus_thermophilus",-7.37878513723692,6.2361418816358,-4.3783039319092,0.798804780876494,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Streptococcus_anginosus",3.74652608421722,4.46581791273765,-4.89236255122781,0.798804780876494,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Lachnoanaerobaculum_umeaense",1.80132749658563,-7.28778201327141,-0.9158116187914,0.798804780876494,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Kingella_denitrificans",-7.68840161517666,-13.8885550512432,4.09380511217801,0.798804780876494,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Selenomonas_artemidis",4.69250595113413,-5.77268677292895,-6.05225525837637,0.770916334661355,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Actinomyces_johnsonii",-7.3401633060484,-1.04175116254784,0.511225729481094,0.770916334661355,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Solobacterium_moorei",14.066653435752,2.47023699382489,-3.57572049632992,0.764940239043825,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Aggregatibacter_aphrophilus",-4.2696487382071,-10.9356870335202,2.06240086178739,0.760956175298805,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Streptococcus_mitis",-9.2818526448334,2.47232352959816,-1.91187273613622,0.756972111553785,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Selenomonas_infelix",9.97908021176014,-4.84172285138622,-1.38191893100857,0.752988047808765,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Streptococcus_parasanguinis",-6.86191201645236,7.38684256060077,-7.72604402584387,0.749003984063745,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Eubacterium_yurii",7.34892102448914,-9.73707245219175,3.44633922769463,0.745019920318725,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Fusobacterium_nucleatum",14.5899681438953,-4.91966144593942,-0.250650727443756,0.741035856573705,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Atopobium_parvulum",7.0772058117263,6.4756710947009,-12.640317564049,0.733067729083665,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Oribacterium_sinus",8.75710713832791,4.73589092612112,-9.9656924165302,0.733067729083665,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Streptococcus_gordonii",-4.99387435337596,-3.09818788449714,-11.7699701002997,0.733067729083665,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Leptotrichia_hongkongensis",-5.46813311365255,-5.39717827395189,-4.26206779786545,0.725099601593626,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Streptococcus_oralis",-7.68575099070126,1.63749926469285,-2.76438679118043,0.721115537848606,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Treponema_medium",14.7987228896754,0.26514254247277,3.70901216989487,0.717131474103586,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Treponema_maltophilum",17.0650437745924,-3.12916275291099,8.73113053324463,0.713147410358566,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Aggregatibacter_actinomycetemcomitans",-5.15898567007404,-2.85873284311435,1.85465985994206,0.709163346613546,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Rothia_dentocariosa",-14.6076677114316,1.08562332456996,-4.21872881167644,0.705179282868526,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Capnocytophaga_gingivalis",-3.6712669725371,-17.451246128408,1.69075211314,0.701195219123506,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Tannerella_sp_oral_taxon_HOT_286",-5.00987067619875,-0.176230933458473,0.874756262533984,0.697211155378486,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Actinomyces_oris",-8.93975907231063,-1.2927753620988,-5.49384066310786,0.693227091633466,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Streptococcus_intermedius",-5.30672454089464,-1.30406677860072,-3.31232593288386,0.683266932270916,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Gemella_sanguinis",-11.3062229099907,3.98766120960356,-2.49018774562255,0.683266932270916,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Actinomyces_lingnae",-5.41567537689119,3.76366309967041,-6.69776217393643,0.683266932270916,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Stomatobaculum_longum",4.92026685413105,4.2806664585983,-11.4300992134091,0.683266932270916,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_pallens",0.784688565425225,2.96021964701414,-5.60625369829095,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Prevotella_shahii",6.1615341440184,-3.04465825028928,-0.797163936251849,0.651394422310757,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_marshii",13.6739720477507,1.52524564116431,3.2192771286793,0.651394422310757,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Neisseria_oralis",-5.81684198350112,-9.13059216035644,1.33586241083245,0.651394422310757,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Prevotella_nanceiensis",-4.37799276752568,-1.65657104245531,-0.290546356712417,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Streptococcus_oligofermentans",-7.72542608590506,0.661506336273969,1.42114440103056,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Haemophilus_sputorum",-11.9248128302302,0.518342367497468,2.80708392768159,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Campylobacter_rectus",6.08158765188196,-7.99349393024373,6.10441265418088,0.651394422310757,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Leptotrichia_trevisanii",1.83711079216059,-8.87044051359624,3.10680047171414,0.651394422310757,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Streptococcus_lactarius",-10.5370715584388,0.849384751077626,1.26755812414589,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Treponema_vincentii",16.1139250814283,-1.8120397830097,5.01857135032774,0.651394422310757,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Bacteroidetes_oral_taxon_274",-4.97926928973913,0.789301533307168,3.19118071810043,0.651394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Stenotrophomonas_maltophilia",-11.4202229419672,9.03158329045511,3.95228698667992,0.617529880478088,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Abiotrophia_defectiva",-4.45741334685456,-13.1717065057038,0.63494616483962,0.617529880478088,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Paludibacter_propionicigenes",-2.86681116454817,1.05779366878505,4.68198274627567,0.617529880478088,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Atopobium_rimae",15.3096088617424,4.80111566419647,-7.48197252728763,0.617529880478088,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Actinomyces_sp_oral_taxon_170",-9.51423785764195,1.08214213031614,2.0052564692692,0.617529880478088,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Eubacterium_saphenum",2.29385262910816,4.95905982173978,6.93886478247827,0.605577689243028,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Eubacterium_infirmum",17.0294489186328,3.95477906454929,3.23285299772916,0.601593625498008,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Veillonella_dispar",-4.51432243547696,2.57374225221743,-13.8982024546197,0.597609561752988,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Olsenella_uli",14.3982268209713,4.40532182980547,-0.315102633189972,0.593625498007968,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Porphyromonas_gingivalis",4.08165471008771,6.84403895834069,10.4694850545262,0.589641434262948,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Rothia_mucilaginosa",-8.99476431501274,3.61865367974474,-2.98640398807655,0.585657370517928,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Prevotella_oralis",17.0671460137568,3.08756586760361,1.15873713074561,0.581673306772908,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_oris",15.9249942208708,1.93423927961053,-7.68035392633979,0.577689243027888,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Peptococcus_niger",9.00751024700206,-3.33369646711221,6.10461083624154,0.571713147410359,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Johnsonella_ignava",8.94362015195654,-6.42415988546022,6.46462848319871,0.571713147410359,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Actinomyces_graevenitzii",-5.23546514823242,2.84402750314824,-7.67543239815912,0.565737051792829,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Selenomonas_dianae",8.87795212412986,-2.40276981213038,-0.757915916830927,0.561752988047809,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Peptostreptococcus_stomatis",10.1387237134173,1.12652701105221,1.88816578453314,0.557768924302789,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_nigrescens",20.3000590519099,-0.237548862191199,-5.32334401511607,0.553784860557769,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Selenomonas_flueggei",13.316955410699,-1.37066408830865,-8.85481265055612,0.543824701195219,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Leptotrichia_shahii",4.13431978014313,-6.83635787993202,-2.64078504734157,0.543824701195219,2,-2.40353493278898,-9.14158256026044,"2",FALSE,TRUE
"Veillonella_caviae",-5.0542972946526,0.417444756118333,-2.94009319075007,0.543824701195219,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Actinomyces_hongkongensis",-5.47882830972688,0.691879277691507,-0.161692316087821,0.543824701195219,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Megasphaera_micronuciformis",9.06153535562615,5.05265688209215,-12.892507357938,0.533864541832669,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_micans",11.179858208004,-8.58513381953879,4.18023185842286,0.529880478087649,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Porphyromonas_endodontalis",11.0973913402617,2.7398486506159,6.03138881556702,0.525896414342629,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Prevotella_maculosa",20.3826540540262,-5.10308014649526,-4.89232284591601,0.52191235059761,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Schwartzia_succinivorans",13.3724692997348,2.18200003594719,-0.164754128122338,0.51792828685259,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Eubacterium_sulci",-3.80104263030733,3.95468879808055,-2.50170091712739,0.51394422310757,3,-5.46406882679862,3.08795085622038,"3",FALSE,FALSE
"Treponema_socranskii",23.4578916649958,-6.0646344219581,2.19092860337024,0.50996015936255,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Anaeroglobus_geminatus",15.7575981231673,3.41752642613163,2.12950916493633,0.50398406374502,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Alloprevotella_tannerae",14.3106347694383,0.550017632052393,1.76093957284866,0.50398406374502,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
"Catonella_morbi",14.5004394357463,-5.41590575057783,4.84875687292342,0.49800796812749,1,11.3113902413612,1.66557873721339,"1",FALSE,FALSE
